cycle,tt1l,tt2l,wt1l,wt2l
3900,2623.3918128654973,4903.518518518518,3726.4327485380118,6004.351851851852
3960,2592.349570200573,4889.473684210527,3901.0888252148998,6268.245614035088
4020,2582.209631728045,4876.883116883117,3901.558073654391,6336.709956709957
4080,2563.1564245810055,4978.143459915612,4081.8994413407822,6481.645569620253
4140,2551.785714285714,5089.458333333333,4257.252747252747,6467.958333333333
4200,2552.2520107238606,5119.794238683127,4510.134048257372,6598.600823045267
4260,2550.5866666666666,5099.72,4525.44,6840.72
4320,2555.824468085106,5065.625,4522.606382978724,6877.65625
4380,2560.1052631578946,5046.923076923077,4502.921052631579,7099.653846153846
4440,2563.1413612565443,5038.893129770992,4485.575916230367,7167.519083969466
4500,2560.8571428571427,5070.977443609023,4475.584415584415,7245.150375939849
4560,2560.5384615384614,5081.666666666667,4432.51282051282,7349.347826086957
4620,2556.7758186397987,5070.664335664335,4369.168765743073,7563.4965034965035
4680,2549.427860696517,5039.21768707483,4321.218905472637,7836.122448979592
4740,2539.5566502463053,4978.9473684210525,4380.517241379311,8078.059210526316
4800,2542.682926829268,4976.601941747573,4343.195121951219,8328.673139158576
4860,2556.115107913669,5021.714285714285,4274.340527577938,8535.111111111111
4920,2559.9290780141846,5021.393188854489,4243.71158392435,8676.006191950464
4980,2585.9396751740137,5009.169230769231,4190.348027842228,8663.723076923077
5040,2600.068493150685,5027.740963855422,4160.6392694063925,8715.481927710844
5100,2602.224719101124,5098.720930232558,4153.168539325843,9112.296511627907
5160,2605.8314855875833,5093.636363636364,4140.354767184035,9086.931818181818
5220,2614.3736263736264,5090.633608815427,4132.373626373626,9293.388429752065
5280,2625.5075593952483,5085.054644808743,4106.047516198704,9247.56830601093
5340,2628.3297644539616,5101.728723404255,4084.7537473233406,9397.686170212766
5400,2650.0,5157.260981912144,4176.603773584906,9537.416020671835
5460,2651.5560165975103,5178.976982097187,4283.547717842323,9552.225063938618
5520,2648.2340862423,5179.183673469388,4262.566735112936,9539.948979591836
5580,2657.60736196319,5230.050125313283,4254.0081799591,9553.684210526315
5640,2663.5365853658536,5216.446078431372,4238.434959349594,9501.470588235294
5700,2663.5365853658536,5214.379562043796,4238.434959349594,9540.389294403893
5760,2651.717171717172,5235.861244019139,4299.838383838384,9517.655502392345
5820,2655.1307847082494,5237.136038186158,4288.832997987927,9509.331742243437
5880,2649.1783567134266,5230.356294536817,4347.915831663327,9549.548693586697
5940,2636.978131212724,5223.552941176471,4382.783300198807,9509.552941176471
6000,2636.792079207921,5223.552941176471,4373.306930693069,9509.552941176471
6060,2644.9704142011833,5234.872389791183,4374.201183431953,9592.784222737819
6120,2640.314960629921,5242.654462242563,4369.035433070866,9710.045766590389
6180,2653.2681017612526,5233.986332574032,4369.334637964775,9822.551252847381
6240,2613.754789272031,5221.797752808989,4727.260536398468,9920.449438202248
6300,2605.7984790874525,5213.31096196868,4792.224334600761,10007.628635346757
6360,2589.0413533834585,5257.026431718062,4869.5300751879695,10094.140969162996
6420,2589.0413533834585,5233.760869565217,4869.5300751879695,10380.695652173914
6480,2581.214953271028,5229.175704989154,4927.065420560748,10391.865509761388
