ind,type,start,bl1,bs1,dir1,dist1,bl2,bs2,dir2,dist2,walk
56089,2,399,L9,1692,1,11213,L2,358,2,1120,1195
56089,2,982,L3,32,2,7288,L2,342,1,1201,1150
56089,2,982,L3,32,2,7288,L2,343,1,1422,996
56089,2,982,L3,32,2,7288,L2,344,1,1726,1217
56089,2,982,L3,32,2,7288,L2,345,1,2080,1522
56089,2,982,L3,32,2,7288,L2,346,1,2915,1876
56089,2,1656,L6,32,2,7972,L2,342,1,1433,1147
56089,2,1656,L6,32,2,7972,L2,343,1,1654,993
56089,2,1656,L6,32,2,7972,L2,344,1,1958,1214
56089,2,1656,L6,32,2,7972,L2,345,1,2312,1519
56089,2,1656,L6,32,2,7972,L2,346,1,3147,1873
56109,2,1572,L44,17,2,5859,L10,45,1,8079,1091
56109,2,1572,L44,17,2,5859,L13,45,2,7554,791
56109,2,1572,L441,17,2,5859,L10,45,1,8079,1091
56109,2,1572,L441,1628,2,4622,L13,45,2,9777,1196
56109,2,1572,L441,1629,2,5446,L13,45,2,8791,791
56109,2,1572,L44,17,2,5859,L10,46,1,9339,1602
56109,2,1572,L441,17,2,5859,L10,46,1,9339,1602
56109,2,1572,L44,17,2,5859,L10,47,1,9641,933
56109,2,1572,L441,17,2,5859,L10,47,1,9641,933
56109,2,1572,L44,17,2,5859,L6,1649,1,6713,656
56109,2,1572,L44,17,2,5859,L9,1649,2,6814,569
56109,2,1572,L441,1630,2,5859,L9,1649,2,7350,1090
56109,2,1572,L441,17,2,5859,L6,1649,1,6713,656
56109,2,1572,L44,17,2,5859,L6,1650,1,6874,300
56109,2,1572,L44,17,2,5859,L9,1650,2,6975,213
56109,2,1572,L441,1630,2,5859,L9,1650,2,7511,734
56109,2,1572,L441,17,2,5859,L6,1650,1,6874,300
56109,2,1572,L44,17,2,5859,L6,1651,1,7457,461
56109,2,1572,L44,17,2,5859,L9,1651,2,7558,374
56109,2,1572,L441,1630,2,5859,L9,1651,2,8094,895
56109,2,1572,L441,17,2,5859,L6,1651,1,7457,461
56503,1,79,L11,2,1,6742,NONE,-1,-1,-1,651
56503,1,79,L12,2,2,6742,NONE,-1,-1,-1,651
56503,1,79,L20,380,2,6232,NONE,-1,-1,-1,1008
56503,1,79,L33,506,2,4926,NONE,-1,-1,-1,923
56503,1,80,L19,1,2,5678,NONE,-1,-1,-1,404
56503,2,79,L18,18,1,7765,L1,1,1,0,394
56503,2,79,L18,65,1,7163,L1,1,2,2722,999
56503,2,79,L18,65,1,7163,L16,1,2,3431,999
56503,2,79,L18,64,1,6238,L3,1,2,3431,1518
56503,2,79,L18,18,1,7765,L3,1,2,2076,609
56503,2,79,L18,18,1,7765,L4,1,2,2076,609
56503,2,79,L18,312,1,8531,L4,1,2,3129,733
56503,2,79,L18,314,1,9391,L4,1,2,3959,642
56503,2,79,L18,18,1,7765,L1,32,1,0,1060
56503,2,79,L18,65,1,7163,L1,32,2,2722,1665
56503,2,79,L18,311,1,8163,L15,32,2,5738,1765
56503,2,79,L18,18,1,7765,L15,32,2,2637,1360
56503,2,79,L18,65,1,7163,L16,32,2,3431,1665
56503,2,79,L18,311,1,8163,L17,32,2,2488,1703
56503,2,79,L18,18,1,7765,L17,32,2,1410,1275
56503,2,79,L18,64,1,6238,L3,32,2,3431,2184
56503,2,79,L18,64,1,6238,L6,32,2,4085,2184
56503,2,79,L18,18,1,7765,L3,32,2,2076,1275
56503,2,79,L18,18,1,7765,L4,32,2,2076,1275
56503,2,79,L18,18,1,7765,L6,32,2,2730,1275
56503,2,79,L18,312,1,8531,L4,32,2,3129,1399
56503,2,79,L18,314,1,9391,L4,32,2,3959,1308
56503,2,79,L18,311,1,8163,L15,215,2,5738,1144
56503,2,79,L18,18,1,7765,L15,215,2,2637,739
56503,2,90,L21,394,1,7634,L14,1,2,8880,563
56503,2,90,L21,395,1,8303,L14,1,2,8329,492
56503,2,90,L21,394,1,7634,L66,1,2,9071,996
56503,2,90,L21,396,1,8907,L5,1,2,7953,662
56503,2,90,L21,56,1,10164,L5,1,2,7246,2273
56503,2,90,L21,57,1,10863,L66,1,2,6796,1696
56503,2,90,L21,398,1,10863,L3,1,2,6769,893
56503,2,90,L21,395,1,8303,L66,1,2,8266,729
56503,2,90,L21,394,1,7634,L14,32,2,8880,1229
56503,2,90,L21,395,1,8303,L14,32,2,8329,1158
56503,2,90,L21,394,1,7634,L66,32,2,9071,1662
56503,2,90,L21,396,1,8907,L5,32,2,7953,1328
56503,2,90,L21,56,1,10164,L5,32,2,7246,2939
56503,2,90,L21,57,1,10863,L66,32,2,6796,2362
56503,2,90,L21,398,1,10863,L3,32,2,6769,1559
56503,2,90,L21,398,1,10863,L6,32,2,7523,1459
56503,2,90,L21,395,1,8303,L66,32,2,8266,1395
56565,2,78,L20,380,2,6642,L2,338,2,0,1518
56565,2,78,L11,2,1,7152,L2,339,1,485,1102
56565,2,78,L12,2,2,7152,L2,339,1,485,1102
56565,2,78,L20,380,2,6642,L2,339,2,0,1286
56565,2,78,L11,2,1,7152,L2,340,1,839,849
56565,2,78,L12,2,2,7152,L2,340,1,839,849
56565,2,78,L20,380,2,6642,L2,340,2,0,1033
56565,2,78,L11,2,1,7152,L2,341,1,1279,1185
56565,2,78,L12,2,2,7152,L2,341,1,1279,1185
56565,2,78,L20,380,2,6642,L2,341,2,0,1369
56565,2,78,L11,3,1,7699,L2,362,2,645,1589
56565,2,78,L12,3,2,7699,L2,362,2,645,1589
56602,2,540,L24,506,1,599,L1,5,1,2339,1291
56602,2,540,L24,506,1,599,L16,5,1,3172,1291
56602,2,540,L24,506,1,599,L19,5,1,3839,1291
56602,2,540,L24,506,1,599,L3,5,1,3172,1291
56602,2,540,L24,506,1,599,L6,5,1,3172,1291
56602,2,540,L24,542,2,3963,L6,5,1,4585,602
56602,2,540,L35,506,1,599,L1,5,1,2339,1291
56602,2,540,L35,506,1,599,L16,5,1,3172,1291
56602,2,540,L35,506,1,599,L19,5,1,3839,1291
56602,2,540,L35,506,1,599,L3,5,1,3172,1291
56602,2,540,L35,506,1,599,L6,5,1,3172,1291
56602,2,540,L35,542,2,3963,L6,5,1,4585,602
56602,2,540,L45,506,1,599,L1,5,1,2339,1291
56602,2,540,L45,506,1,599,L16,5,1,3172,1291
56602,2,540,L45,506,1,599,L19,5,1,3839,1291
56602,2,540,L45,506,1,599,L3,5,1,3172,1291
56602,2,540,L45,506,1,599,L6,5,1,3172,1291
56602,2,540,L45,542,2,3963,L6,5,1,4585,602
56602,2,540,L24,506,1,599,L10,34,1,3082,1083
56602,2,540,L24,506,1,599,L5,34,1,3082,1083
56602,2,540,L24,506,1,599,L66,34,1,3082,1083
56602,2,540,L35,506,1,599,L10,34,1,3082,1083
56602,2,540,L35,506,1,599,L5,34,1,3082,1083
56602,2,540,L35,506,1,599,L66,34,1,3082,1083
56602,2,540,L45,506,1,599,L10,34,1,3082,1083
56602,2,540,L45,506,1,599,L5,34,1,3082,1083
56602,2,540,L45,506,1,599,L66,34,1,3082,1083
56635,1,79,L20,387,2,10510,NONE,-1,-1,-1,869
56635,1,79,L20,388,2,11465,NONE,-1,-1,-1,590
56635,2,79,L11,18,1,7873,L9,368,1,10408,491
56635,2,79,L12,18,2,8710,L9,368,1,10408,491
56635,2,79,L11,2,1,6742,L6,387,2,5598,1278
56635,2,79,L11,33,1,7873,L6,387,2,6157,1281
56635,2,79,L12,2,2,6742,L6,387,2,5598,1278
56635,2,79,L12,33,2,7873,L6,387,2,6157,1281
56635,2,79,L18,64,1,6238,L6,387,2,8363,1993
56635,2,79,L18,18,1,7765,L6,387,2,7008,1084
56635,2,79,L33,542,2,4926,L6,387,2,4278,966
56635,2,79,L11,2,1,6742,L6,388,2,6553,999
56635,2,79,L11,33,1,7873,L6,388,2,7112,1002
56635,2,79,L12,2,2,6742,L6,388,2,6553,999
56635,2,79,L12,33,2,7873,L6,388,2,7112,1002
56635,2,79,L12,143,2,12824,L7,388,2,12575,1211
56635,2,79,L12,145,2,13633,L7,388,2,12881,733
56635,2,79,L12,147,2,14186,L7,388,2,13616,702
56635,2,79,L12,149,2,14816,L7,388,2,13957,1545
56635,2,79,L12,151,2,15709,L7,388,2,14587,727
56635,2,79,L18,64,1,6238,L6,388,2,9318,1714
56635,2,79,L18,18,1,7765,L6,388,2,7963,805
56635,2,79,L18,313,1,8890,L7,388,2,9050,890
56635,2,79,L18,315,1,9593,L7,388,2,9724,1274
56635,2,79,L18,163,1,10187,L7,388,2,10008,843
56635,2,79,L18,165,1,11538,L7,388,2,10729,590
