bl1,bl2,bs1,bs2,dir1,dir2,condist
L10,L6,44,1649,1,1,747
L10,L6,36,987,1,2,924
L10,L6,44,1654,1,2,747
L10,L6,65,5,2,1,505
L10,L6,65,29,2,2,605
L10,L66,58,1658,2,1,1061
L10,L66,58,1672,2,2,960
L10,L9,18,18,1,1,0
L10,L9,44,1654,1,1,747
L10,L9,18,180,1,2,395
L10,L9,44,1649,1,2,747
L10,L9,58,58,2,1,0
L10,L9,58,41,2,2,0
L10,251,1,506,2,1,529
L10,251,1,506,2,2,529
L11,L12,76,91,1,1,577
L11,L12,76,78,1,2,617
L11,L13,18,18,1,1,0
L11,L13,18,180,1,2,395
L11,L14,2,1,1,1,257
L11,L14,2,32,1,2,409
L11,L15,2,215,1,1,303
L11,L15,2,32,1,2,409
L11,L16,2,2,1,1,0
L11,L16,2,32,1,2,409
L11,L17,2,2,1,1,0
L11,L17,2,32,1,2,409
L11,L18,69,304,1,1,741
L11,L18,76,76,1,1,0
L11,L18,18,18,1,1,0
L11,L18,71,334,1,2,806
L11,L18,76,93,1,2,71
L11,L18,18,180,1,2,395
L11,L18,86,83,2,1,100
L11,L18,97,303,2,1,260
L11,L18,86,86,2,2,0
L11,L18,97,330,2,2,148
L11,L19,79,89,1,1,394
L11,L19,2,2,1,1,0
L11,L19,18,18,1,1,0
L11,L19,80,80,1,2,0
L11,L19,32,2,2,1,409
L11,L19,86,86,2,1,0
L11,L19,32,1,2,2,666
L11,L2,2,338,1,1,430
L11,L2,2,32,1,2,409
L11,L2,32,338,2,1,444
L11,L2,32,361,2,2,645
L11,L20,72,330,1,1,128
L11,L20,76,93,1,1,71
L11,L20,69,304,1,2,741
L11,L20,76,76,1,2,0
L11,L20,85,85,2,1,0
L11,L20,97,330,2,1,148
L11,L20,85,84,2,2,160
L11,L20,97,303,2,2,260
L11,L21,72,330,1,1,128
L11,L21,76,93,1,1,71
L11,L21,69,304,1,2,741
L11,L21,76,76,1,2,0
L11,L21,90,90,2,1,0
L11,L21,97,330,2,1,148
L11,L21,89,79,2,2,394
L11,L21,97,303,2,2,260
L11,L22,18,180,1,1,395
L11,L22,18,180,1,2,395
L11,L23,18,180,1,1,395
L11,L23,18,180,1,2,395
L11,L24,2,506,1,1,786
L11,L24,2,506,1,2,786
L11,L24,32,506,2,1,732
L11,L24,32,506,2,2,732
L11,L25,2,506,1,1,786
L11,L25,2,506,1,2,786
L11,L25,32,506,2,1,732
