ind,type,startbs,bl,endbs,dir,dist,walk
744,2,1677,L7,1681,1,3066,3167
744,2,1677,L9,321,2,5735,2388
744,3,29,L1,32,2,2722,5639
744,3,58,L10,1,2,7246,8894
744,2,1677,L9,188,2,14287,7524
744,3,29,L16,32,2,3431,5639
744,3,29,L1,1,2,2722,5487
744,2,1677,L9,1342,2,3797,4334
744,3,983,L3,32,2,6769,8059
744,3,58,L10,32,2,7246,9046
744,2,1677,L9,34,2,7619,1750
744,3,59,L66,32,2,6536,8766
744,3,29,L16,1,2,3431,5487
744,3,987,L6,32,2,5414,6048
744,3,983,L3,1,2,6769,7907
744,3,214,L14,1,2,6511,8589
745,2,1,L19,89,1,10036,5805
745,2,376,L20,93,1,7001,6670
745,3,66,L12,31,1,1410,2504
745,3,293,L17,66,2,3712,5079
745,2,376,L20,330,1,8980,8055
745,2,542,L35,506,2,558,2079
745,3,136,L12,33,2,9031,6323
745,1,1,L16,33,1,1804,940
745,3,66,L17,31,2,1410,2504
745,1,1,L3,33,1,1804,940
745,2,1,L2,338,1,633,1531
745,2,542,L45,506,2,558,2079
745,3,136,L12,3,2,8447,6462
745,2,506,L33,91,1,5793,6092
745,1,1,L1,4,1,2212,806
745,1,1,L66,33,1,1804,940
745,1,1,L14,33,1,1805,940
745,2,1,L19,18,1,3046,1524
745,1,376,L6,33,1,2433,340
745,3,72,L11,3,1,9673,7654
745,2,506,L33,998,1,9711,9520
745,1,1,L10,33,1,1804,940
745,1,1,L4,33,1,1804,940
745,2,1,L19,2,1,1805,1496
745,1,1,L5,33,1,1804,940
745,2,1,L2,351,1,4723,4145
745,2,542,L24,506,2,558,2079
745,3,72,L11,33,1,10257,7515
745,1,215,L15,3,1,1852,1033
745,2,376,L20,326,1,7654,7246
745,2,542,L33,506,2,558,2079
764,1,1,L1,18,1,7730,215
764,2,506,L33,120,1,6916,8295
764,1,215,L15,18,1,4481,260
764,1,1,L19,18,1,3046,215
764,3,860,L28,771,2,2067,4027
764,1,1,L4,18,1,2406,215
764,1,2,L11,18,1,1547,472
764,1,1,L10,18,1,2838,215
764,1,2,L12,18,2,2384,472
764,1,1,L66,18,1,2838,215
764,1,1,L16,18,1,3045,215
764,1,2,L6,18,1,2788,472
764,2,376,L20,331,1,9280,9752
764,2,380,L20,387,2,4819,7088
764,3,294,L26,619,2,1923,4173
764,2,1,L2,351,1,4723,2835
764,3,294,L262,619,2,1923,4173
764,3,307,L18,18,1,9406,7276
764,1,1,L5,18,1,2838,215
764,1,1,L3,18,1,3045,215
764,1,1,L14,18,1,2839,215
764,3,1680,L9,180,2,5624,3478
764,3,294,L261,619,2,1923,4173
764,2,1,L2,345,1,2713,3275
764,1,2,L17,18,1,2446,472
812,3,172,L13,34,2,10299,8376
812,3,172,L18,34,2,8329,8376
812,1,1678,L9,34,2,7157,375
812,2,1678,L7,171,1,9965,6027
866,2,1,L1,17,1,7730,7548
866,3,66,L6,388,2,7963,2482
866,2,1,L10,44,1,8256,12091
866,2,1,L66,18,1,2838,7247
866,2,1,L4,1328,1,3960,8619
866,3,18,L9,1700,1,10995,2935
866,2,1,L14,18,1,2839,7247
866,2,1,L10,36,1,4452,7903
866,2,1,L3,953,1,7051,10477
866,3,1692,L7,388,2,5848,3810
866,3,66,L6,386,2,6730,2662
866,2,1,L19,18,1,3046,7247
866,3,18,L9,368,1,10408,2928
866,2,1,L2,345,1,2713,6217
866,2,1,L16,18,1,3045,7247
866,3,1692,L7,1673,2,5848,4010
866,2,1,L66,34,1,3339,7053
866,2,376,L6,18,1,3674,6619
866,3,18,L9,1699,1,10752,2590
866,2,1,L1,18,1,7730,7247
866,2,376,L6,1646,1,7891,9749
866,2,1,L5,741,1,10693,12770
866,2,1,L10,18,1,2838,7247
866,2,1,L4,18,1,2406,7247
866,2,1,L66,36,1,4452,7903
866,3,1692,L7,1698,2,5649,3532
866,2,1,L5,36,1,4452,7903
866,2,1,L14,36,1,4453,7903
866,2,1,L3,18,1,3045,7247
866,3,1692,L7,1697,2,5371,4031
866,2,215,L15,18,1,4481,7201
866,2,1,L1,5,1,2596,7260
866,3,66,L6,387,2,7008,2204
866,2,1,L5,18,1,2838,7247
866,1,380,L20,387,2,4819,14
1302,3,1692,L7,1697,2,5371,3388
1302,1,32,L6,386,2,5320,712
1302,2,1,L4,1328,1,3960,7818
1302,2,2,L17,262,1,4163,6091
1302,3,1692,L7,388,2,5848,3687
1302,1,380,L20,386,2,4541,568
1302,2,2,L12,144,2,6887,10173
1302,3,1692,L7,1698,2,5649,3408
1302,2,1,L2,345,1,2713,5416
1358,1,1695,L9,368,1,4130,595
1358,1,1695,L7,1697,2,3963,0
1471,1,1694,L9,1700,1,5106,0
1471,1,1694,L7,1698,2,4630,585
1895,2,1,L66,35,1,3688,4334
1895,3,111,L36,317,2,1619,6140
1895,2,1,L19,18,1,3046,2998
1895,2,2,L6,5,1,3172,4298
1895,2,1,L5,407,1,7215,7855
1895,2,2,L6,18,1,2788,3256
1895,2,1,L5,35,1,3688,4334
1895,2,1,L19,336,1,5540,4500
1895,3,1680,L7,163,1,4667,3197
1895,2,1,L5,18,1,2838,2998
1895,2,215,L15,18,1,4481,2953
1895,3,111,L36,162,2,1335,6295
1895,3,18,L13,162,1,4063,2543
