cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
180,21,5,1484,518.3333333333336,35.0,0.0
180,27,1,1340,424.1666666666667,35.0,30.0
180,24,1,600,41.666666666666664,30.0,0.0
180,23,1,1200,214.99999999999994,40.0,0.0
180,13,0,0,259.9999999999999,0.0,0.0
180,9,1,1800,120.0,20.0,0.0
180,17,0,0,0.0,0.0,0.0
180,8,5,1200,1039.999999999998,20.0,0.0
180,14,0,0,170.0,0.0,0.0
180,20,1,1230,460.0,15.0,30.0
180,26,3,1530,440.0,25.0,0.0
180,25,0,0,244.99999999999997,40.0,0.0
180,18,0,0,360.00000000000006,0.0,120.0
180,19,0,0,85.0,0.0,60.0
180,16,0,0,616.666666666667,0.0,240.0
180,15,0,0,209.99999999999997,0.0,0.0
240,1,1,2400,835.0,80.0,30.0
240,4,0,0,68.33333333333333,10.0,0.0
240,3,3,2550,1051.6666666666656,40.0,0.0
240,2,8,1800,315.0,75.0,0.0
240,5,1,1800,105.0,0.0,0.0
240,6,5,1428,2120.000000000004,35.0,1080.0
240,7,1,600,4199.999999999988,40.0,360.0
240,12,0,0,1788.3333333333358,0.0,0.0
240,11,2,2200,461.66666666666663,90.0,240.0
240,10,4,2255,1408.3333333333346,45.0,720.0
240,22,5,2062,90.0,35.0,0.0
240,21,7,1778,706.6666666666661,50.0,0.0
240,27,4,2022,776.6666666666662,50.0,30.0
240,24,1,600,116.66666666666667,30.0,60.0
240,23,2,2400,378.3333333333335,50.0,0.0
240,13,0,0,500.00000000000034,0.0,0.0
240,9,2,2100,220.0,25.0,0.0
240,17,0,0,0.0,0.0,0.0
240,8,5,1560,1188.3333333333328,50.0,0.0
240,14,0,0,225.0,0.0,0.0
240,20,1,1230,890.0,25.0,30.0
240,26,2,2405,660.0,50.0,0.0
240,25,1,2400,325.0,40.0,0.0
240,18,1,2400,370.00000000000006,0.0,120.0
240,19,1,2400,259.16666666666663,0.0,60.0
240,16,0,0,738.3333333333336,0.0,240.0
240,15,1,2400,209.99999999999997,0.0,0.0
300,1,2,2985,1104.9999999999998,120.0,90.0
300,4,0,0,115.0,10.0,0.0
300,3,3,2800,1051.6666666666656,40.0,0.0
300,2,9,2333,405.00000000000006,85.0,0.0
300,5,0,0,315.0,10.0,30.0
300,6,4,1605,2733.333333333331,50.0,1410.0
300,7,1,2900,5505.000000000013,65.0,480.0
300,12,0,0,2993.3333333333217,20.0,60.0
300,11,0,0,534.9999999999999,90.0,390.0
300,10,2,1980,2120.000000000005,65.0,900.0
300,22,6,2218,155.0,35.0,0.0
300,21,5,2066,936.6666666666652,95.0,0.0
300,27,3,1960,924.1666666666662,60.0,30.0
300,24,3,2200,123.33333333333334,30.0,90.0
300,23,5,2844,491.66666666666697,65.0,0.0
300,13,1,2940,753.3333333333327,5.0,0.0
300,9,3,2600,255.0,35.0,0.0
300,17,0,0,0.0,0.0,0.0
300,8,5,1800,1445.000000000002,70.0,0.0
300,14,0,0,230.0,0.0,0.0
300,20,1,1230,1387.5,25.0,30.0
300,26,5,2736,830.0,55.0,0.0
300,25,0,0,390.0,55.0,0.0
300,18,1,2400,370.00000000000006,0.0,120.0
300,19,1,2400,342.50000000000006,0.0,90.0
300,16,2,3475,991.6666666666663,15.0,270.0
300,15,1,2400,310.00000000000006,0.0,0.0
360,1,3,3390,1324.9999999999998,130.0,180.0
360,4,1,3600,168.33333333333331,10.0,0.0
360,3,3,2800,1141.666666666666,40.0,0.0
360,2,9,2733,425.00000000000006,85.0,0.0
360,5,0,0,560.0,20.0,60.0
360,6,9,2724,3364.999999999991,60.0,1680.0
360,7,2,3395,7201.666666666707,85.0,600.0
360,12,0,0,3618.3333333333117,20.0,60.0
360,11,5,3600,731.666666666666,90.0,450.0
360,10,2,2460,2748.3333333333276,65.0,1020.0
360,22,6,2718,175.0,65.0,30.0
360,21,5,2564,1198.3333333333333,140.0,0.0
360,27,3,2513,1203.3333333333328,60.0,60.0
360,24,2,1800,153.33333333333334,40.0,90.0
360,23,10,3486,616.666666666667,105.0,0.0
360,13,1,2940,1043.3333333333314,5.0,30.0
360,9,1,1800,325.0,55.0,0.0
360,17,0,0,0.0,0.0,0.0
360,8,9,2733,1633.3333333333374,90.0,0.0
360,14,0,0,350.0,0.0,0.0
360,20,1,1230,1750.0000000000007,45.0,90.0
360,26,4,3120,1030.0,65.0,0.0
360,25,4,3600,540.0,55.0,0.0
360,18,1,2400,410.00000000000017,0.0,150.0
360,19,1,2400,387.50000000000006,0.0,90.0
360,16,2,3775,1056.6666666666663,55.0,270.0
360,15,1,2400,401.66666666666686,0.0,0.0
420,1,8,4223,1835.0000000000002,160.0,390.0
420,4,2,4200,234.99999999999997,20.0,0.0
420,3,1,3000,1441.6666666666679,40.0,0.0
420,2,6,3600,555.0,185.0,0.0
420,5,1,4420,680.0,25.0,60.0
420,6,3,2130,4390.833333333322,145.0,2040.0
420,7,7,4262,8490.000000000045,160.0,660.0
420,12,1,4200,4203.333333333309,20.0,60.0
420,11,3,4000,884.9999999999991,120.0,510.0
420,10,2,2760,3456.6666666666506,75.0,1350.0
420,22,6,3418,220.0,95.0,60.0
420,21,3,2800,1326.6666666666674,205.0,0.0
