cycle,tt1l,tt2l,wt1l,wt2l
2880,2776.478873239437,4611.241496598639,960.465872156013,2165.0255102040815
2940,2788.472075869336,4620.138775510204,965.0790305584826,2159.5183673469387
3000,2790.5122950819673,4643.859087269816,957.4487704918033,2154.3795036028823
3060,2788.6666666666665,4653.3281613654,957.2039800995025,2133.467804499612
3120,2791.807580174927,4661.271763815292,953.8386783284742,2133.906131718395
3180,2801.095238095238,4681.627043090639,977.4666666666667,2141.7682020802376
3240,2818.0983302411873,4674.964131994261,986.0204081632653,2148.816355810617
3300,2832.728921124207,4685.759272218334,1001.532184950136,2183.372988103569
3360,2828.218442256043,4701.6072629455275,1001.4592658907789,2187.800941492939
3420,2833.8780918727916,4717.475409836065,1006.1925795053004,2211.527868852459
3480,2838.352223190933,4705.076923076923,1007.2972972972973,2210.275641025641
3540,2835.9948542024013,4704.003771213073,1007.2041166380789,2216.492771841609
3600,2856.246830092984,4725.4941682013505,1004.945054945055,2251.6022099447514
3660,2853.2023411371238,4727.384245339747,1003.0016722408027,2261.503307276007
3720,2837.4835526315787,4750.899007589025,996.6447368421053,2285.9894921190894
3780,2832.843295638126,4773.149425287356,999.151857835218,2300.32183908046
3840,2827.0869912210696,4782.79213483146,997.3982442138866,2332.7359550561796
3900,2833.4146341463415,4801.546505228398,1006.3257277734068,2363.538800220143
3960,2844.2735042735044,4838.01182160129,1018.5547785547785,2397.4476088124666
4020,2856.6922486569456,4839.707757704569,1016.8917881811205,2399.702444208289
4080,2867.998489425982,4842.059748427673,1016.6918429003022,2408.710691823899
4140,2871.563201196709,4831.047174701918,1021.4659685863875,2416.9777086573354
4200,2866.358253145818,4844.408602150537,1019.7039230199852,2410.706605222734
4260,2873.9766933721776,4828.582955118507,1027.115804806992,2408.0937972768534
4320,2864.8638968481378,4831.265508684864,1023.8896848137535,2415.637717121588
4380,2871.120507399577,4841.352278294953,1025.1867512332628,2416.678098971093
4440,2862.076655052265,4853.134110787172,1025.7351916376306,2417.7842565597666
4500,2855.1246537396123,4859.812319538018,1022.319944598338,2417.9114533205006
4560,2849.3745704467356,4870.635148042024,1019.3676975945017,2411.5425023877747
4620,2840.591836734694,4868.224740321058,1018.2925170068028,2409.707271010387
4680,2834.0738255033557,4856.8445475638055,1015.7986577181208,2417.508120649652
4740,2832.2781456953644,4847.728102189781,1017.2516556291391,2435.8622262773724
4800,2829.448051948052,4832.712093862816,1009.7792207792207,2434.575812274368
4860,2828.024374599102,4835.439535921464,1008.7107119948685,2438.375725122713
4920,2828.512658227848,4826.151475121092,1014.4810126582279,2446.4641127256714
4980,2824.666250779788,4821.203984408835,1022.7947598253276,2442.685145084452
5040,2824.0123456790125,4822.843683083512,1032.1358024691358,2448.9164882226983
5100,2830.5602923264314,4825.135478408129,1033.3069427527405,2442.6672311600337
5160,2846.4624624624626,4820.401505646173,1033.033033033033,2441.0790464240904
5220,2852.876712328767,4813.414836303356,1030.1131625967837,2444.7948611686697
5280,2863.2582938388628,4809.680720425706,1026.9135071090047,2439.8526401964796
5340,2863.789659224442,4802.147189648201,1030.4289071680375,2445.1637687019816
5400,2866.1062463514304,4799.097056483692,1038.3070636310567,2462.319013524264
5460,2874.75,4806.728346456693,1041.3139534883721,2466.6535433070867
5520,2872.3597455176405,4817.341285109657,1040.6998264893002,2501.3158907272027
5580,2885.966724039013,4836.028744326778,1059.0877796901893,2540.1550680786686
5640,2889.6810933940774,4843.84845091452,1063.883826879271,2559.604329973871
5700,2890.7457627118642,4856.775855723225,1063.8079096045199,2575.391976444608
5760,2905.995513180034,4868.498718418162,1069.4391475042064,2572.467960454046
5820,2905.389355742297,4869.0196793002915,1069.266106442577,2577.7332361516037
5880,2902.9201563372417,4870.384197172889,1069.0843104410944,2586.179775280899
5940,2905.0750416898277,4888.00505050505,1069.2773763201778,2586.583694083694
6000,2903.699389905713,4894.556509298998,1068.1641708264006,2587.74678111588
6060,2902.271973466003,4914.325382698469,1067.9049198452183,2591.0145959416163
6120,2903.276243093923,4914.7215324583185,1068.0552486187846,2592.7882227740333
6180,2902.938257993385,4920.010604453871,1070.077177508269,2595.4330151997174
6240,2904.0010976948406,4929.528666901161,1076.536772777168,2599.120647203658
6300,2903.068927789934,4940.6236860546605,1081.3566739606126,2604.709180098108
6360,2907.5108695652175,4945.163194444444,1084.5489130434783,2632.125
6420,2914.031385281385,4951.503448275862,1084.7564935064936,2634.948275862069
6480,2917.583783783784,4950.752318790794,1084.3621621621621,2643.3081415321194
