cycle,tt1l,tt2l,wt1l,wt2l
3720,2862.653748946925,4726.301930953774,1000.9351305812974,2176.372147454652
3780,2869.700996677741,4742.08547008547,1015.6478405315614,2218.5868945868947
3840,2859.690048939641,4754.505310229179,1021.8026101141925,2244.281721632197
3900,2865.928,4760.0435729847495,1031.16,2304.0686274509803
3960,2872.923561859732,4763.258064516129,1057.7698975571316,2309.6559139784945
4020,2874.0546875,4769.056703762586,1059.390625,2305.3259141494436
4080,2882.5729646697387,4799.838288993218,1056.152073732719,2325.2373500260824
4140,2879.046177138531,4803.355739400206,1065.2763058289174,2329.912099276112
4200,2875.830202854996,4812.710997442456,1067.9038317054847,2336.066496163683
4260,2884.03988183161,4824.114372469636,1067.2525849335302,2336.163967611336
4320,2872.6652142338417,4822.585,1069.2374727668846,2341.67
4380,2867.124370956147,4817.291974396849,1070.97771387491,2352.496307237814
4440,2868.9111747851002,4830.808572820263,1069.2478510028652,2348.075986361422
4500,2875.5665722379604,4842.99856527977,1068.201133144476,2346.795791487327
4560,2870.0699300699303,4857.088846880907,1064.2797202797203,2340.3449905482044
4620,2853.3975240715267,4851.845794392523,1064.401650618982,2338.733644859813
4680,2842.6472579553147,4850.349586016559,1065.673662830061,2340.367985280589
4740,2839.8741721854303,4843.5063752276865,1063.046357615894,2338.7158469945357
4800,2844.823529411765,4831.972147349506,1069.4117647058824,2340.8400718778075
4860,2846.520618556701,4820.302356602934,1067.8414948453608,2340.5246776345043
4920,2846.2220804084236,4822.562527424309,1065.9285258455648,2354.3835015357613
4980,2850.0626959247647,4822.935581495893,1066.6896551724137,2352.20925205361
5040,2865.3024691358023,4838.206220707286,1072.537037037037,2349.69322539412
5100,2866.3215590743,4844.589819099706,1084.9269183922047,2346.1506100126207
5160,2872.687013764213,4841.754385964912,1086.7743865948535,2346.3826232247284
5220,2871.0289769367237,4840.558292282431,1089.8758131283264,2345.6855500821016
5280,2871.4645577035735,4855.373073803731,1095.0439367311071,2338.2076236820762
5340,2876.982008125363,4868.579431772709,1097.96285548462,2337.482993197279
5400,2880.005787037037,4866.579778830964,1102.361111111111,2342.642180094787
5460,2890.132183908046,4869.625730994152,1103.7816091954023,2359.7153996101365
5520,2903.593839132915,4883.788109756098,1110.1711351968054,2395.971798780488
5580,2915.7345433919454,4886.917264828107,1117.770845150312,2399.380430676237
5640,2922.4269662921347,4893.40290719344,1121.112359550562,2415.6168468132687
5700,2930.323841429369,4897.09808259587,1126.2646566164153,2420.910766961652
5760,2934.5742904841404,4907.86368633199,1124.7022815804119,2421.876145108098
5820,2941.860077734592,4911.792625045637,1124.519711271516,2418.970427163198
5880,2940.033222591362,4927.234119782214,1125.9634551495017,2424.032667876588
5940,2939.0407938257995,4942.71119133574,1127.8445424476295,2424.8050541516245
6000,2938.018712162906,4942.931467527807,1126.3621353880021,2431.51417294582
6060,2947.5040961223376,4946.0958169467285,1125.7072637902786,2431.744726492671
6120,2951.7964071856286,4950.124510850232,1124.2079477408818,2435.610103166133
6180,2950.043383947939,4953.041474654377,1122.5704989154012,2438.6246012052466
6240,2950.0967741935483,4949.544330625221,1123.5645161290322,2444.521370540445
6300,2950.032137118372,4945.637961335677,1126.8291376539903,2451.7293497363794
6360,2951.3514957264956,4947.13687150838,1131.292735042735,2464.441340782123
6420,2952.5412892914223,4949.860917941585,1135.8337773042088,2464.318497913769
6480,2954.468085106383,4955.319737296923,1137.2340425531916,2469.267196681645
